# VHH-NNLO multi-axis scan points
# process: ZHH
# energy_tev: 14
# scan_axes: kappa_lambda,kappa_z
# windows: kappa_lambda=[-0.7,6.1]; kappa_z=[0.9,1.2]
# n_points: kappa_lambda:40,kappa_z:40
# fixed_kappa: 1,1,1,1
#
kappa_lambda	kappa_z	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo	sigma_lo_pdfas	sigma_lo_sup	sigma_lo_inf	sigma_nnlo_pdfas	sigma_nnlo_sup	sigma_nnlo_inf
4.705128205	0.9615384615	1.214145719	1.529037125	1.259352235	3.974271105	3.663829703	0.02434901525	0.00985612928	0.01298388775	0.03034867065	0.02276228738	0.01910880052
4.705128205	0.9692307692	1.228174401	1.548541717	1.260848391	4.020191284	3.710565982	0.02461843948	0.009904156086	0.01307723827	0.03068840386	0.02353757938	0.01971064381
4.705128205	0.9769230769	1.242312842	1.568240972	1.262355921	4.066470733	3.757768704	0.02489000536	0.009952513301	0.01317126888	0.03103099984	0.02433092491	0.02032599947
4.705128205	0.9846153846	1.256561828	1.588136051	1.263874181	4.113112032	3.805440655	0.02516373085	0.0100012175	0.01326599647	0.03137648707	0.02514238286	0.02095491346
4.705128205	0.9923076923	1.270922155	1.608228127	1.265402543	4.160117783	3.853584642	0.02543963409	0.01005028549	0.01336143817	0.03172489433	0.02597201237	0.02159743195
4.705128205	1	1.285394625	1.628518381	1.266940401	4.207490615	3.902203498	0.0257177334	0.01009973434	0.01345761136	0.03207625063	0.02681987288	0.02225360133
4.705128205	1.007692308	1.299980049	1.649008006	1.268487164	4.255233179	3.95130008	0.02599804726	0.01014958135	0.01355453364	0.03243058527	0.02768602407	0.02292346822
4.705128205	1.015384615	1.314679245	1.669698204	1.270042263	4.303348152	4.000877268	0.02628059436	0.01019984408	0.01365222286	0.03278792778	0.0285705259	0.02360707947
4.705128205	1.023076923	1.329493038	1.690590187	1.271605145	4.351838237	4.050937968	0.02656539355	0.01025054031	0.01375069708	0.03314830799	0.02947343858	0.02430448214
4.705128205	1.030769231	1.34442226	1.711685179	1.273175273	4.400706159	4.10148511	0.02685246388	0.01030168809	0.01384997464	0.03351175594	0.03039482262	0.02501572353
4.705128205	1.038461538	1.359467753	1.732984411	1.274752128	4.449954669	4.152521647	0.02714182457	0.0103533057	0.01395007407	0.03387830194	0.03133473877	0.02574085114
4.705128205	1.046153846	1.374630364	1.754489127	1.276335204	4.499586542	4.204050557	0.02743349503	0.01040541166	0.01405101416	0.03424797655	0.03229324805	0.02647991272
4.705128205	1.053846154	1.389910949	1.776200579	1.277924014	4.54960458	4.256074842	0.02772749483	0.01045802475	0.01415281394	0.03462081056	0.03327041176	0.02723295623
4.705128205	1.061538462	1.40531037	1.79812003	1.279518082	4.600011607	4.308597529	0.02802384376	0.01051116399	0.01425549267	0.03499683502	0.03426629144	0.02800002985
4.705128205	1.069230769	1.420829499	1.820248754	1.28111695	4.650810472	4.361621667	0.02832256177	0.01056484864	0.01435906983	0.03537608119	0.03528094893	0.02878118199
4.705128205	1.076923077	1.436469213	1.842588034	1.282720171	4.70200405	4.415150332	0.02862366899	0.0106190982	0.01446356515	0.0357585806	0.03631444631	0.02957646128
4.705128205	1.084615385	1.452230398	1.865139163	1.284327312	4.753595239	4.469186623	0.02892718575	0.01067393243	0.01456899861	0.03614436498	0.03736684595	0.03038591659
4.705128205	1.092307692	1.468113947	1.887903444	1.285937953	4.805586963	4.523733663	0.02923313255	0.01072937132	0.01467539041	0.03653346631	0.03843821047	0.03120959698
4.705128205	1.1	1.48412076	1.910882191	1.287551689	4.85798217	4.5787946	0.02954153008	0.01078543511	0.01478276098	0.0369259168	0.03952860275	0.03204755177
4.705128205	1.107692308	1.500251747	1.934076727	1.289168123	4.910783833	4.634372604	0.02985239923	0.01084214428	0.01489113099	0.03732174888	0.04063808597	0.03289983047
4.705128205	1.115384615	1.516507822	1.957488387	1.290786872	4.96399495	4.690470873	0.03016576104	0.01089951957	0.01500052136	0.03772099521	0.04176672354	0.03376648285
4.705128205	1.123076923	1.532889908	1.981118515	1.292407565	5.017618541	4.747092626	0.03048163677	0.01095758194	0.01511095324	0.03812368866	0.04291457915	0.03464755887
4.705128205	1.130769231	1.549398938	2.004968463	1.294029842	5.071657656	4.804241107	0.03080004785	0.01101635263	0.015222448	0.03852986233	0.04408171677	0.03554310873
4.705128205	1.138461538	1.566035848	2.029039597	1.295653352	5.126115363	4.861919585	0.03112101589	0.01107585308	0.01533502726	0.03893954955	0.04526820062	0.03645318286
4.705128205	1.146153846	1.582801586	2.05333329	1.297277756	5.180994761	4.920131352	0.03144456271	0.01113610501	0.01544871288	0.03935278384	0.04647409519	0.0373778319
4.705128205	1.153846154	1.599697103	2.077850926	1.298902725	5.236298968	4.978879727	0.03177071028	0.01119713036	0.01556352694	0.03976959896	0.04769946525	0.03831710672
4.705128205	1.161538462	1.616723362	2.102593901	1.300527939	5.292031132	5.038168049	0.03209948079	0.01125895135	0.01567949177	0.04019002887	0.04894437582	0.03927105841
4.705128205	1.169230769	1.63388133	2.127563618	1.302153087	5.348194421	5.097999685	0.03243089661	0.01132159039	0.01579662994	0.04061410776	0.05020889219	0.04023973829
4.705128205	1.176923077	1.651171984	2.152761493	1.303777871	5.404792031	5.158378024	0.03276498029	0.01138507019	0.01591496424	0.04104187001	0.05149307992	0.0412231979
4.705128205	1.184615385	1.668596307	2.17818895	1.305401996	5.461827181	5.21930648	0.03310175458	0.01144941367	0.0160345177	0.04147335023	0.05279700484	0.042221489
4.705128205	1.192307692	1.68615529	2.203847423	1.307025181	5.519303115	5.280788491	0.03344124239	0.01151464401	0.0161553136	0.04190858323	0.05412073304	0.04323466358
4.705128205	1.2	1.703849931	2.229738358	1.308647151	5.577223101	5.342827519	0.03378346686	0.01158078463	0.01627737544	0.04234760401	0.05546433089	0.04426277385
4.879487179	0.9	1.161137154	1.44775101	1.246838933	3.800757823	3.469054524	0.02337925369	0.009934069878	0.01285429757	0.02911149621	0.01774658122	0.01527737383
4.879487179	0.9076923077	1.175103212	1.46677502	1.248209523	3.846473012	3.514639244	0.02364761931	0.009984469732	0.01294954555	0.0294486047	0.01840598217	0.01579408003
4.879487179	0.9153846154	1.18917809	1.485994311	1.249597788	3.892544405	3.560691895	0.02391808219	0.01003506502	0.01304535627	0.02978847891	0.01908396444	0.01632467571
4.879487179	0.9230769231	1.203362511	1.505409972	1.251002884	3.938974361	3.607215077	0.02419065865	0.01008586981	0.01314174428	0.03013114502	0.01978058802	0.01686920743
4.879487179	0.9307692308	1.217657202	1.525023095	1.252423993	3.985765268	3.654211415	0.0244653652	0.01013689845	0.01323872433	0.03047662955	0.02049591317	0.01742772195
4.879487179	0.9384615385	1.232062901	1.544834788	1.253860324	4.032919535	3.701683558	0.02474221852	0.0101881655	0.01333631142	0.03082495932	0.02123000042	0.01800026626
4.879487179	0.9461538462	1.246580351	1.564846166	1.255311112	4.080439597	3.74963418	0.02502123548	0.01023968577	0.0134345208	0.03117616146	0.02198291057	0.01858688757
4.879487179	0.9538461538	1.261210303	1.585058355	1.256775616	4.128327915	3.798065979	0.02530243312	0.01029147433	0.01353336795	0.03153026338	0.02275470468	0.01918763331
4.879487179	0.9615384615	1.275953516	1.605472491	1.258253119	4.176586972	3.846981676	0.02558582867	0.01034354649	0.01363286856	0.03188729279	0.02354544407	0.01980255115
4.879487179	0.9692307692	1.290810758	1.62608972	1.259742925	4.225219278	3.896384018	0.02587143954	0.01039591779	0.01373303859	0.03224727772	0.02435519034	0.02043168896
4.879487179	0.9769230769	1.305782802	1.646911197	1.261244363	4.274227367	3.946275774	0.0261592833	0.01044860403	0.01383389422	0.03261024644	0.02518400535	0.02107509486
4.879487179	0.9846153846	1.320870429	1.66793809	1.262756781	4.323613796	3.996659741	0.02644937773	0.01050162124	0.01393545187	0.03297622751	0.02603195124	0.02173281717
4.879487179	0.9923076923	1.336074429	1.689171575	1.264279548	4.373381148	4.047538735	0.02674174076	0.01055498572	0.01403772819	0.03334524978	0.02689909039	0.02240490444
4.879487179	1	1.351395598	1.710612838	1.265812054	4.423532032	4.098915602	0.02703639054	0.01060871398	0.01414074007	0.03371734236	0.02778548548	0.02309140546
4.879487179	1.007692308	1.366834741	1.732263076	1.267353707	4.474069079	4.150793207	0.02733334535	0.0106628228	0.01424450464	0.03409253462	0.02869119943	0.02379236923
4.879487179	1.015384615	1.382392669	1.754123495	1.268903933	4.524994947	4.203174442	0.0276326237	0.01071732921	0.01434903927	0.03447085621	0.02961629543	0.02450784496
4.879487179	1.023076923	1.398070202	1.776195312	1.270462177	4.576312316	4.256062223	0.02793424425	0.01077225045	0.01445436154	0.03485233701	0.03056083695	0.02523788211
4.879487179	1.030769231	1.413868166	1.798479755	1.272027901	4.628023894	4.30945949	0.02823822586	0.01082760404	0.01456048929	0.03523700718	0.03152488773	0.02598253036
4.879487179	1.038461538	1.429787395	1.82097806	1.273600583	4.680132411	4.363369207	0.02854458755	0.01088340773	0.0146674406	0.03562489713	0.03250851175	0.02674183959
4.879487179	1.046153846	1.445828732	1.843691475	1.275179718	4.732640623	4.417794362	0.02885334856	0.01093967952	0.01477523377	0.0360160375	0.03351177329	0.02751585992
4.879487179	1.053846154	1.461993025	1.866621256	1.276764816	4.78555131	4.472737968	0.02916452826	0.01099643763	0.01488388733	0.03641045919	0.03453473686	0.0283046417
4.879487179	1.061538462	1.478281132	1.889768671	1.278355403	4.838867276	4.528203062	0.02947814625	0.01105370057	0.01499342008	0.03680819334	0.03557746728	0.0291082355
4.879487179	1.069230769	1.494693916	1.913134998	1.279951017	4.892591352	4.584192704	0.02979422229	0.01111148705	0.01510385102	0.03720927133	0.0366400296	0.0299266921
4.879487179	1.076923077	1.511232251	1.936721524	1.281551212	4.946726391	4.640709981	0.03011277633	0.01116981606	0.01521519941	0.03761372477	0.03772248915	0.03076006252
4.879487179	1.084615385	1.527897015	1.960529547	1.283155557	5.001275272	4.697758001	0.0304338285	0.01122870681	0.01532748473	0.03802158551	0.03882491154	0.031608398
4.879487179	1.092307692	1.544689096	1.984560374	1.284763632	5.056240899	4.755339898	0.03075739911	0.01128817876	0.01544072669	0.03843288563	0.03994736263	0.03247174999
4.879487179	1.1	1.561609388	2.008815324	1.28637503	5.1116262	4.81345883	0.03108350867	0.01134825162	0.01555494527	0.03884765744	0.04108990854	0.03335017019
4.879487179	1.107692308	1.578658792	2.033295724	1.287989358	5.167434128	4.87211798	0.03141217785	0.01140894534	0.01567016065	0.03926593349	0.04225261569	0.0342437105
4.879487179	1.115384615	1.59583822	2.058002913	1.289606231	5.22366766	4.931320553	0.03174342752	0.01147028012	0.01578639326	0.03968774652	0.04343555073	0.03515242305
4.879487179	1.123076923	1.613148587	2.082938238	1.291225282	5.280329797	4.991069781	0.03207727874	0.01153227641	0.01590366377	0.04011312954	0.0446387806	0.03607636021
4.879487179	1.130769231	1.630590819	2.108103059	1.292846148	5.337423568	5.051368917	0.03241375275	0.01159495488	0.01602199309	0.04054211573	0.04586237249	0.03701557454
4.879487179	1.138461538	1.648165847	2.133498744	1.294468483	5.394952023	5.112221242	0.03275287097	0.01165833647	0.01614140234	0.04097473853	0.04710639387	0.03797011885
4.879487179	1.146153846	1.665874612	2.15912667	1.296091948	5.452918238	5.173630057	0.033094655	0.01172244235	0.0162619129	0.04141103158	0.04837091248	0.03894004617
4.879487179	1.153846154	1.68371806	2.184988228	1.297716215	5.511325315	5.235598692	0.03343912665	0.01178729394	0.01638354639	0.04185102874	0.04965599631	0.03992540976
4.879487179	1.161538462	1.701697147	2.211084815	1.299340966	5.570176377	5.298130497	0.0337863079	0.01185291291	0.01650632465	0.04229476407	0.05096171363	0.04092626307
4.879487179	1.169230769	1.719812835	2.237417841	1.300965893	5.629474576	5.361228848	0.03413622091	0.01191932117	0.01663026975	0.04274227187	0.05228813297	0.04194265982
4.879487179	1.176923077	1.738066093	2.263988724	1.302590697	5.689223087	5.424897146	0.03448888805	0.01198654086	0.01675540403	0.04319358663	0.05363532314	0.04297465392
4.879487179	1.184615385	1.7564579	2.290798894	1.304215087	5.749425107	5.489138814	0.03484433185	0.01205459439	0.01688175002	0.04364874306	0.0550033532	0.04402229952
4.879487179	1.192307692	1.774989239	2.317849789	1.305838783	5.810083862	5.553957302	0.03520257505	0.01212350439	0.01700933053	0.04410777606	0.05639229248	0.04508565099
4.879487179	1.2	1.793661104	2.34514286	1.307461512	5.871202599	5.619356082	0.03556364056	0.01219329377	0.01713816857	0.04457072076	0.05780221059	0.04616476292
5.053846154	0.9	1.217946854	1.517427761	1.245889963	3.986713386	3.636011718	0.02451911751	0.01039908987	0.01346541284	0.03052889102	0.01831014086	0.01579714776
5.053846154	0.9076923077	1.232725756	1.537520597	1.247252756	4.035089264	3.684157527	0.02480343461	0.01045415946	0.01356770104	0.03088591375	0.01899678402	0.01633584236
5.053846154	0.9153846154	1.247618784	1.557818686	1.248633562	4.083838708	3.732795157	0.02508994597	0.01050941514	0.01367056375	0.03124582831	0.01970304407	0.01688919768
5.053846154	0.9230769231	1.262626652	1.578323117	1.250031523	4.132964061	3.781927217	0.02537866773	0.01056487046	0.01377401501	0.03160866095	0.02042898423	0.01745726264
5.053846154	0.9307692308	1.277750083	1.599034991	1.251445812	4.182467687	3.831556345	0.02566961621	0.01062053922	0.01387806912	0.03197443825	0.02117466801	0.01804008638
5.053846154	0.9384615385	1.292989808	1.619955417	1.252875628	4.232351977	3.881685199	0.0259628079	0.01067643547	0.0139827406	0.03234318708	0.02194015918	0.01863771827
